ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
DE0006084403,HBM,HORNBACH BAUMARKT AG O.N.,Common stock,EUR,2505011,2020-12-07,15:33,35.7,35.7,35.7,35.7,90,1
DE0005664809,EVT,EVOTEC SE  INH O.N.,Common stock,EUR,2504963,2020-12-07,15:33,25.98,25.99,25.98,25.99,686,2
DE0005677108,ELG,ELMOS SEMICOND. INH O.N.,Common stock,EUR,2504964,2020-12-07,15:33,26.8,26.8,26.8,26.8,186,1
LU0643975161,X03G,XTR.II GER.GOV.BD 1C,ETF,EUR,2506036,2020-12-07,15:33,210.7,210.7,210.7,210.7,62,1
DE000A1X3XX4,DIC,DIC ASSET AG NA O.N.,Common stock,EUR,2504532,2020-12-07,15:33,13.56,13.56,13.56,13.56,1106,4
DE0005933923,EXS3,ISHARES MDAX UCITS ETF,ETF,EUR,2504988,2020-12-07,15:33,248.2,248.2,248.2,248.2,20,1
IE00BHZRR147,FLXC,FRANK.LIB.CHINA ETF DLA,ETF,EUR,4123973,2020-12-07,15:33,30.99,30.99,30.99,30.99,681,1
LU0411078552,DBPG,XTR.S+P 500 2X L.D.S. 1C,ETF,EUR,2505938,2020-12-07,15:33,88.72,88.72,88.72,88.72,20,1
IE00B5MTZ595,SC04,IM-I.STOXX E.600O.P.H.G.A,ETF,EUR,2505707,2020-12-07,15:33,546.2,546.2,546.2,546.2,13,1
IE00B0M63516,IQQB,IS MSCI BRAZ.U.ETF USD D,ETF,EUR,2505576,2020-12-07,15:33,24.105,24.105,24.105,24.105,500,1
DE000A0LD6E6,GXI,GERRESHEIMER AG,Common stock,EUR,2504380,2020-12-07,15:33,96.65,96.7,96.65,96.65,394,4
LU0533033238,LYPE,MUL-LYX.MSCI W.HCTRUE AEO,ETF,EUR,2506009,2020-12-07,15:33,340,340,340,340,48,1
DE0005785604,FRE,FRESENIUS SE+CO.KGAA O.N.,Common stock,EUR,2504973,2020-12-07,15:33,37.44,37.45,37.44,37.45,1006,2
US0079031078,AMD,"ADVANCED MIC.DEV.  DL-,01",Common stock,EUR,2506418,2020-12-07,15:33,76.87,76.96,76.87,76.96,40,2
IE00BDT6FP91,SPF1,SPDR REF.GBL CONV.BD EOH,ETF,EUR,3213457,2020-12-07,15:33,39.872,39.872,39.872,39.872,2131,1
DE000KSAG888,SDF,K+S AG NA O.N.,Common stock,EUR,2504812,2020-12-07,15:33,8.342,8.348,8.334,8.346,9915,13
DE0006062144,1COV,COVESTRO AG  O.N.,Common stock,EUR,2505008,2020-12-07,15:33,46.95,46.95,46.95,46.95,481,3
DE000A1ML7J1,VNA,VONOVIA SE NA O.N.,Common stock,EUR,2504501,2020-12-07,15:33,55.98,56.02,55.98,56.02,436,3
DE0007100000,DAI,DAIMLER AG NA O.N.,Common stock,EUR,2505076,2020-12-07,15:33,57.52,57.53,57.51,57.52,1063,6
DE0006969603,PUM,PUMA SE,Common stock,EUR,2505067,2020-12-07,15:33,87.32,87.32,87.32,87.32,33,1
GB0007188757,RIO1,"RIO TINTO PLC      LS-,10",Common stock,EUR,2505378,2020-12-07,15:33,60.15,60.15,60.15,60.15,1356,6
DE000LEG1110,LEG,LEG IMMOBILIEN AG NA O.N.,Common stock,EUR,2504814,2020-12-07,15:33,117.58,117.58,117.52,117.54,354,12
LU0322253906,DX2J,XTR.MSCI EUROPE S.CAP 1C,ETF,EUR,2505884,2020-12-07,15:33,48.68,48.68,48.665,48.665,283,2
DE000A12DM80,G24,SCOUT24 AG NA O.N.,Common stock,EUR,2504556,2020-12-07,15:33,62.3,62.3,62.3,62.3,163,1
NL0011375019,SNH,"STEINHOFF INT.HLDG.EO-,50",Common stock,EUR,2506267,2020-12-07,15:33,0.0544,0.0544,0.0544,0.0544,100000,1
US09075V1026,22UA,BIONTECH SE SPON. ADRS 1,Common stock,EUR,5773148,2020-12-07,15:33,101.64,101.64,101.64,101.64,3,1
DE000A1X3W00,MDG1,MEDIGENE AG NA O.N.,Common stock,EUR,2504531,2020-12-07,15:33,3.6,3.6,3.6,3.6,250,1
US70450Y1038,2PP,"PAYPAL HDGS INC.DL-,0001",Common stock,EUR,2506551,2020-12-07,15:33,180.1,180.1,180.1,180.1,10,1
DE000CBK1001,CBK,COMMERZBANK AG,Common stock,EUR,2504665,2020-12-07,15:33,5.388,5.388,5.388,5.388,1588,2
DE000SHA0159,SHA,SCHAEFFLER AG INH. VZO,Common stock,EUR,2504849,2020-12-07,15:33,6.18,6.18,6.175,6.175,1074,2
DE000BASF111,BAS,BASF SE NA O.N.,Common stock,EUR,2504663,2020-12-07,15:33,60.69,60.71,60.69,60.7,289,5
